douban_film_id,title,page_number,rank_within_list
1294724,"美国哈兰县 Harlan County, U.S.A.",19,467
1292757,木偶奇遇记 Pinocchio,19,468
1303417,棕榈滩的故事 The Palm Beach Story,19,469
1829859,旺妲的房间 No Quarto da Vanda,19,470
1292211,对她说 Hable con ella,19,471
1292963,"船长二世 Steamboat Bill, Jr.",19,472
1857095,恋爱症候群 แสงศตวรรษ,19,473
2369090,浮于碧海 У самого синего моря,19,474
26809592,魅影缝匠 Phantom Thread,19,475
1292272,大象 Elephant,20,476
1298521,正午 High Noon,20,477
1303529,死者 The Dead,20,478
1294252,雾中风景 Τοπίο στην ομίχλη,20,479
1305139,原野神驹 Wagon Master,20,480
1299603,落水狗 Reservoir Dogs,20,481
1769364,无医可靠 Moartea domnului Lãzãrescu,20,482
1471815,萝拉 Lola,20,483
1291850,站台,20,484
1294477,秘密与谎言 Secrets & Lies,20,485
1292664,魔女嘉莉 Carrie,20,486
1785241,艰辛岁月 Vidas Secas,20,487
1303572,战国妖姬 Senso,20,488
1304857,我与长指甲 Withnail & I,20,489
1293323,大红灯笼高高挂,20,490
5959260,小亚细亚往事 Bir Zamanlar Anadolu'da,20,491
24719134,扎马 Zama,20,492
1293230,柏蒂娜的苦泪 Die bitteren Tränen der Petra von Kant,20,493
1292000,搏击俱乐部 Fight Club,20,494
1299517,江湖浪子 The Hustler,20,495
1303472,双峰：与火同行 Twin Peaks: Fire Walk with Me,20,496
1857099,老无所依 No Country for Old Men,20,497
1294958,桂河大桥 The Bridge on the River Kwai,20,498
1298192,五支歌 Five Easy Pieces,20,499
1299027,凶线 Blow Out,20,500
1294698,逃亡 To Have and Have Not,21,501
1292767,原野奇侠 Shane,21,502
1297991,杀死一只知更鸟 To Kill a Mockingbird,21,503
1292881,万世魔星 Life of Brian,21,504
1300522,男性，女性 Masculin féminin,21,505
1306847,乱世英豪 Marketa Lazarová,21,506
1294413,下一站，天国 ワンダフルライフ,21,507
1295211,待客之道 Our Hospitality,21,508
1297359,幽灵公主 もののけ姫,21,509
1303081,严密监视的列车 Ostře sledované vlaky,21,510
1420238,纯真时刻 نون و گلدون,21,511
1297833,银色·性·男女 Short Cuts,21,512
1438734,内陆帝国 Inland Empire,21,513
1401842,麦秋 麥秋,21,514
1308865,老男孩 올드보이,21,515
1292682,欲望号快车 Crash,21,516
1292697,虎胆龙威 Die Hard,21,517
1303471,生生长流 زندگی و دیگر هیچ,21,518
26088510,双峰 第三季 Twin Peaks Season 3,21,519
1292965,不羁夜 Boogie Nights,21,520
1301465,纯真年代 The Age of Innocence,21,521
1293297,孽扣 Dead Ringers,21,522
1296583,卡斯帕尔·豪泽尔之谜 Jeder für sich und Gott gegen alle,21,523
1294169,伊甸园之东 East of Eden,21,524
3013046,法国贩毒网 The French Connection,21,525
1303869,吸血鬼 Les Vampires,22,526
1296591,纳粹狂魔 La caduta degli dei (Götterdämmerung),22,527
1293182,十二怒汉 12 Angry Men,22,528
1293306,爱丽丝城市漫游记 Alice in den Städten,22,529
1900841,窃听风暴 Das Leben der Anderen,22,530
1305235,浮士德 Faust: Eine deutsche Volkssage,22,531
2209575,少年时代 Boyhood,22,532
1306559,大河之歌 অপরাজিত,22,533
1300299,杀人回忆 살인의 추억,22,534
1299973,亚历山大·涅夫斯基 Александр Невский,22,535
1429098,光之翼 Yeelen,22,536
1303444,随风而逝 باد ما را خواهد برد,22,537
1417428,蓝 Blue,22,538
1305883,步步惊魂 Point Blank,22,539
1297926,妮诺契卡 Ninotchka,22,540
1300820,罗塞塔 Rosetta,22,541
1296879,歌声俪影 A Night at the Opera,22,542
1300656,终结者 The Terminator,22,543
1389949,日瓦戈医生 Doctor Zhivago,22,544
